# Input,Serial time,Parallel time,Speedup
1,0.076835,0.002648,29.0162
2,0.119893,0.007759,15.4521
3,0.408198,0.031408,12.9966
4,0.405599,0.031784,12.7611
5,2.175698,0.072978,29.8130
1,0.076678,0.002724,28.1490
2,0.119538,0.007807,15.3116
3,0.410615,0.031365,13.0915
4,0.404483,0.031787,12.7247
5,2.177441,0.072958,29.8451
1,0.076551,0.002769,27.6457
2,0.120704,0.007814,15.4471
3,0.410380,0.031361,13.0856
4,0.404240,0.031889,12.6764
5,2.175144,0.072953,29.8156
1,0.076398,0.002703,28.2641
2,0.118861,0.007792,15.2542
3,0.406547,0.031338,12.9729
4,0.405165,0.031789,12.7454
5,2.173191,0.072955,29.7881
1,0.076664,0.002628,29.1719
2,0.119828,0.007736,15.4896
3,0.410699,0.031438,13.0637
4,0.402983,0.031779,12.6807
5,2.168487,0.073010,29.7012
1,0.076597,0.002586,29.6198
2,0.119626,0.007729,15.4775
3,0.396629,0.031456,12.6090
4,0.403258,0.031776,12.6906
5,2.178686,0.073018,29.8376
1,0.074190,0.002621,28.3059
2,0.119453,0.007693,15.5274
3,0.408483,0.031226,13.0815
4,0.404235,0.031830,12.6998
5,2.176788,0.073087,29.7835
1,0.076404,0.002640,28.9409
2,0.119844,0.007736,15.4917
3,0.408011,0.031433,12.9803
4,0.403446,0.031774,12.6973
5,2.174557,0.073035,29.7741
1,0.076406,0.001994,38.3179
2,0.119452,0.007527,15.8698
3,0.407354,0.029178,13.9609
4,0.403723,0.031796,12.6972
5,2.175544,0.065841,33.0423
1,0.080916,0.000148,546.7297
2,0.130455,0.000483,270.0931
3,0.441426,0.001619,272.6534
4,0.426528,0.001868,228.3340
5,2.344564,0.004313,543.6039
1,0.082400,0.000196,420.4081
2,0.133134,0.000834,159.6330
3,0.435745,0.002678,162.7128
4,0.425251,0.003305,128.6689
5,2.335031,0.006919,337.4809
1,0.081752,0.000133,614.6766
2,0.131403,0.000407,322.8574
3,0.439676,0.001373,320.2301
4,0.434462,0.001541,281.9351
5,2.358501,0.003650,646.1646
1,0.081350,0.000118,689.4067
2,0.128305,0.000313,409.9201
3,0.446706,0.001068,418.2640
4,0.428161,0.001187,360.7085
5,2.326591,0.002854,815.2035
1,0.081668,0.000137,596.1167
2,0.125925,0.000246,511.8902
3,0.438217,0.000797,549.8331
4,0.452634,0.000876,516.7054
5,2.344204,0.002519,930.6089
1,0.080231,0.000110,729.3727
2,0.128984,0.000315,409.4730
3,0.435807,0.001057,412.3055
4,0.439499,0.001176,373.7236
5,2.354290,0.002860,823.1783
1,0.077122,0.000114,676.5087
2,0.122641,0.000281,436.4448
3,0.407132,0.000943,431.7412
4,0.407283,0.001043,390.4918
5,2.149745,0.002548,843.6989
1,0.079861,0.000109,732.6697
2,0.128993,0.000295,437.2644
3,0.441568,0.000996,443.3413
4,0.443397,0.001107,400.5392
5,2.328343,0.002723,855.0653
1,0.085722,0.001917,44.7167
2,0.127512,0.007241,17.6097
3,0.449949,0.028005,16.0667
4,0.449385,0.030531,14.7189
5,2.322712,0.063194,36.7552
1,0.081213,0.000117,694.1282
2,0.130386,0.000297,439.0101
3,0.439941,0.001008,436.4494
4,0.428521,0.001094,391.7010
5,2.344443,0.002724,860.6618
1,0.083054,0.000115,722.2086
2,0.132041,0.000297,444.5824
3,0.461996,0.001009,457.8751
4,0.398681,0.001106,360.4710
5,2.150586,0.002726,788.9163
