# Input,Serial time,Parallel time,Speedup
1,0.331158,0.001931,171.4955
3,3.208081,0.015931,201.3734
4,3.173115,0.016025,198.0102
1,0.316136,0.002457,128.6674
3,2.927926,0.015622,187.4232
4,3.034410,0.015845,191.5058
1,0.349577,0.001985,176.1093
3,3.167455,0.016309,194.2151
4,2.803827,0.015611,179.6058
1,0.331431,0.002407,137.6946
3,3.188354,0.015859,201.0438
4,3.042796,0.016157,188.3267
1,0.354416,0.002264,156.5441
3,3.199797,0.014844,215.5616
4,3.199889,0.014783,216.4573
1,0.369686,0.001784,207.2230
3,3.185111,0.014736,216.1448
4,3.183070,0.014724,216.1824
1,0.355579,0.001765,201.4611
3,3.205464,0.014613,219.3570
4,3.193460,0.014687,217.4344
1,0.354078,0.001933,183.1753
3,3.202559,0.014948,214.2466
4,3.196187,0.014936,213.9921
1,0.354356,0.002519,140.6732
3,3.191914,0.014934,213.7346
4,3.198779,0.015064,212.3459
1,0.354091,0.002330,151.9703
3,3.190609,0.015028,212.3109
4,3.343227,0.014875,224.7547
1,0.354022,0.001950,181.5497
3,3.193947,0.015108,211.4076
4,3.196177,0.015088,211.8356
1,0.374010,0.001958,191.0163
3,3.201031,0.014938,214.2877
4,3.237651,0.014956,216.4784
1,0.365794,0.002390,153.0518
3,3.347153,0.016009,209.0794
4,3.291045,0.016007,205.6003
1,0.366302,0.002589,141.4839
3,3.301068,0.015210,217.0327
4,3.294775,0.015238,216.2209
1,0.365389,0.002361,154.7602
3,3.296624,0.015275,215.8182
4,3.340830,0.015111,221.0859
1,0.364425,0.002468,147.6600
3,3.292374,0.015014,219.2869
4,3.299003,0.015069,218.9264
1,0.365799,0.002426,150.7827
3,3.304979,0.015063,219.4104
4,3.292284,0.015228,216.1993
1,0.366973,0.002304,159.2764
3,3.292242,0.015091,218.1593
4,3.303494,0.015090,218.9194
1,0.367350,0.002477,148.3044
3,3.296701,0.015153,217.5609
4,3.309096,0.015148,218.4510
1,0.365516,0.002050,178.3004
2,0.823829,0.004228,194.8507
3,3.303052,0.015108,218.6293
4,3.313538,0.015101,219.4250
1,0.367622,0.002238,164.2636
2,0.828756,0.003665,226.1271
3,3.296830,0.013061,252.4178
4,3.308818,0.012975,255.0148
1,0.364933,0.002191,166.5600
2,0.822975,0.003665,224.5497
3,3.294053,0.012876,255.8289
4,3.296269,0.012934,254.8530
1,0.363895,0.002098,173.4485
2,0.823038,0.003631,226.6697
3,3.309926,0.013015,254.3162
4,3.301656,0.013392,246.5394
1,0.369659,0.001819,203.2210
2,0.823317,0.003559,231.3338
3,3.302884,0.013007,253.9312
4,3.299745,0.012992,253.9828
1,0.367073,0.001769,207.5031
2,0.824052,0.003580,230.1821
3,3.306394,0.013055,253.2664
4,3.294195,0.013003,253.3411
1,0.383097,0.002252,170.1141
2,0.823553,0.003742,220.0836
3,3.304833,0.013160,251.1271
4,3.404963,0.013148,258.9719
1,0.365997,0.001782,205.3855
2,0.825452,0.003767,219.1271
3,3.297508,0.013137,251.0092
4,3.301514,0.013171,250.6654
1,0.367072,0.002348,156.3339
2,0.826915,0.003724,222.0502
3,3.298187,0.013092,251.9238
4,3.300709,0.013104,251.8856
5,11.425613,0.040155,284.5377
